"index","word","female","i_pronoun","exclude","coef","ME","nFemale","nMale","coef_pronoun","ME_pronoun","nFemale_pronoun","nMale_pronoun","linear_coef"
216,"model",NA,NA,NA,-0.175858371,-0.025761493,463,4210,-0.151666752,-0.024529365,250,1629,-0.009445771
217,"doing",NA,NA,NA,-0.107256621,-0.015712023,2001,7439,-0.063043452,-0.010196143,1249,4219,-0.00791561
218,"\xe2\x82\xac",NA,NA,NA,-0.185716886,-0.027205667,17,91,-0.054077749,-0.008746102,9,61,-0.001781342
219,"without",NA,NA,NA,0.031031031,0.004545736,1880,6147,-0.009140678,-0.00147834,1085,3643,0
220,"least",NA,NA,NA,0.02000118,0.002929973,1855,6341,0.055892064,0.009039534,1017,3544,0
221,"off",NA,NA,NA,-0.019440224,-0.002847798,2522,7115,0.01250364,0.002022238,1540,4200,0
222,"point",NA,NA,NA,-0.143554687,-0.021029326,1587,6923,-0.121964454,-0.019725553,987,4121,-0.014255527
223,"__",NA,NA,NA,0,0,87,375,0,0,48,162,0
224,"sure",NA,NA,NA,0.008691943,0.001273283,2793,8384,-0.018000246,-0.002911216,1766,4995,-0.002741665
225,"econ",NA,NA,NA,-0.117945051,-0.017277771,1133,6950,0,0,587,2820,-0.002349433
226,"policy",NA,NA,NA,-0.022530611,-0.003300509,504,4330,0.000470864,7.62e-05,309,2069,0
227,"post",NA,NA,NA,-0.132944594,-0.019475054,1364,7188,-0.186261074,-0.030124373,772,3745,-0.001747858
228,"bad",NA,NA,NA,-0.063807488,-0.009347159,2226,7475,-0.045244089,-0.007317416,1293,4117,-0.002797879
229,"around",NA,NA,NA,-0.023367059,-0.003423041,2324,6082,-0.087116004,-0.014089444,1255,3461,-0.004707374
230,"maybe",NA,NA,NA,0.09363182,0.013716125,2213,6423,0.028619937,0.004628759,1378,3773,0.001979289
231,"every",NA,NA,NA,0,0,2361,6889,-0.06873948,-0.011117373,1157,3878,0
232,"own",NA,NA,NA,-0.292612572,-0.042864816,1568,6295,-0.302602372,-0.048940482,974,4264,-0.032856331
233,"course",NA,NA,NA,-0.025522742,-0.003738826,1320,5416,-0.032461256,-0.005250023,769,3146,-0.002762224
234,"long",NA,NA,NA,0,0,2182,6130,0.105810784,0.017112988,1303,3363,0.016206874
235,"+",NA,NA,NA,0.032285953,0.004729569,958,3042,0.010043381,0.001624336,422,1321,0.003496648
236,"through",NA,NA,NA,0.031044826,0.004547757,1447,5315,0.090825716,0.014689423,905,2903,1.69e-05
237,"thing",NA,NA,NA,0.040938045,0.005997014,2593,7264,0.043173084,0.006982469,1494,4131,0.001713493
238,"k",NA,NA,NA,-0.049056023,-0.007186217,1792,5096,-0.045982478,-0.007436837,844,2303,-0.008692669
239,"give",NA,NA,NA,-0.007470046,-0.001094287,2468,7128,0,0,1577,4274,0
240,"case",NA,NA,NA,0.004427175,0.000648537,1379,5111,0.109655171,0.017734748,913,3075,0.011127965
241,"another",NA,NA,NA,-0.003138232,-0.00045972,1977,6576,0.155033315,0.025073846,1285,3844,0.019829126
242,"place",NA,NA,NA,-0.081537722,-0.011944461,1609,5291,-0.033198642,-0.005369282,922,2922,0
