,PID_79,HHID_79,month_born,year_born,live_with_mom_at_14,live_with_dad_at_14,single_mom_at_14,usborn,male,hispanic,black,AFQT_HS,AFQT,ROTTER,ROSENBERG,HGC_Age28,HGC_Age24,HGC_FATH79r,HGC_MOTH79r,real_earnings_1978,real_earnings_1979,real_earnings_1980,real_earnings_1981,real_earnings_1982,real_earnings_1983,real_earnings_1984,real_earnings_1985,real_earnings_1986,real_earnings_1987,real_earnings_1988,real_earnings_1989,real_earnings_1990,real_earnings_1991,real_earnings_1992,real_earnings_1993,real_earnings_1995,real_earnings_1997,real_earnings_1999,real_earnings_2001,real_earnings_2003,real_earnings_2005,real_earnings_2007,real_earnings_2009,real_earnings_2011,weeks_worked_1978,weeks_worked_1979,weeks_worked_1980,weeks_worked_1981,weeks_worked_1982,weeks_worked_1983,weeks_worked_1984,weeks_worked_1985,weeks_worked_1986,weeks_worked_1987,weeks_worked_1988,weeks_worked_1989,weeks_worked_1990,weeks_worked_1991,weeks_worked_1992,weeks_worked_1993,weeks_worked_1995,weeks_worked_1997,weeks_worked_1999,weeks_worked_2001,weeks_worked_2003,weeks_worked_2005,weeks_worked_2007,weeks_worked_2009,weeks_worked_2011,NORTH_EAST_79,NORTH_CENTRAL_79,SOUTH_79,WEST_79,college,earnings_in_2000
1950,1951,1951,1,61,1.0,1.0,0.0,1.0,0,0,0,0.0,45.219002,7.0,511.0,17.0,16.0,15.0,12.0,2341.092,6007.0522,6351.1455,3598.2839,3841.4011,10508.723,16789.682,19039.369,19895.621,26151.362999999998,29491.936,28136.257999999998,28362.295,33620.969,35128.309,37725.953,35054.934,38040.922,39265.785,43094.07,45033.305,46893.762,49428.637,54885.75,58164.035,26.0,31.0,40.0,25.0,26.0,50.0,48.0,48.0,45.0,40.0,45.0,50.0,45.0,52.0,52.0,52.0,52.0,52.0,52.0,41.0,41.0,52.0,52.0,52.0,52.0,1.0,0.0,0.0,0.0,1,41358.5205
1962,1963,1963,1,61,1.0,1.0,0.0,1.0,1,0,0,1.0,63.400002,5.0,582.0,12.0,12.0,12.0,12.0,5351.0674,22526.445,44987.280999999995,40780.551,39317.871,39407.711,39875.496,42557.398,47749.488,57585.210999999996,40551.41,47479.934,55056.219000000005,57635.945,69939.555,70924.789,77263.938,33965.109,71987.273,76584.32,81415.477,74806.719,82030.5,81312.219,84337.852,19.0,52.0,52.0,52.0,47.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,1.0,0.0,0.0,0.0,0,65988.04475
1965,1966,1966,2,61,1.0,1.0,0.0,1.0,1,0,0,1.0,85.623001,8.0,491.0,12.0,12.0,14.0,17.0,6688.8345,6007.0522,0.0,0.0,0.0,7662.6104,27419.65,42557.398,39791.242,43188.91,47924.395,42204.387,53387.852,51231.953,52843.223,55834.41,51509.293,49589.059,54972.102,61562.957,41478.043,46893.762,44170.27,42688.918,38776.023,44.0,35.0,0.0,0.0,0.0,17.0,52.0,52.0,50.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,1.0,0.0,0.0,0.0,0,51900.54025
1994,1995,1995,2,61,1.0,1.0,0.0,1.0,0,0,0,1.0,33.083,11.0,432.0,15.0,13.0,15.0,12.0,2675.5337,0.0,3175.5728,8252.0645,3292.3066,1018.0325,7620.4169999999995,20137.756,15518.583999999999,23993.838,19722.732,21102.193,28195.459,30418.972999999998,35746.887,12072.305,8584.8818,13586.044,6544.2979,7387.5552,0.0,3349.5544,4206.6924,6525.3057,11632.806999999999,40.0,9.0,25.0,36.0,50.0,21.0,52.0,52.0,50.0,52.0,48.0,52.0,52.0,52.0,52.0,15.0,25.0,48.0,0.0,50.0,0.0,6.0,9.0,52.0,52.0,0.0,1.0,0.0,0.0,0,6879.474275
2001,2002,2000,6,61,1.0,0.0,0.0,1.0,0,0,0,0.0,35.088001,5.0,470.0,10.0,10.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1308.8595,18468.887,16591.217,13398.218,2103.3462,12196.833,6785.8042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,39.0,47.0,39.0,19.0,35.0,52.0,0.0,1.0,0.0,0.0,0,9092.240875
2249,2250,2250,12,62,0.0,0.0,0.0,1.0,0,0,1,0.0,9.3929996,10.0,388.0,12.0,12.0,11.0,9.0,0.0,4685.501,7938.9321,55.173687,0.0,0.0,944.4196199999999,727.52887,3979.1240000000003,12476.796,9216.2295,19343.678,31699.035,8325.1924,23313.186,22635.57,31477.9,2037.9065,2617.719,12805.096000000001,18487.357,22330.362999999998,17878.441000000003,2744.2874,0.0,0.0,13.0,48.0,5.0,0.0,0.0,4.0,3.0,52.0,52.0,52.0,36.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,0.0,0.0,0.0,0.0,1.0,0.0,0,8987.019625
2340,2341,2341,2,61,1.0,1.0,0.0,1.0,1,0,0,1.0,78.245003,4.0,647.0,14.0,13.0,12.0,12.0,8026.6011,18585.82,16936.389,21589.702999999998,28245.596,34591.211,39875.496,46610.484000000004,50733.832,61424.227,58983.871,52755.484000000004,50051.109000000004,56034.949,62168.496,64134.117,64386.613,61137.195,78531.57,76338.07,69683.109,75923.234,79927.156,69115.391,63011.039000000004,27.0,52.0,48.0,52.0,52.0,48.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,0.0,0.0,1.0,0.0,0,71422.486
2350,2351,2350,3,61,1.0,1.0,0.0,1.0,1,0,1,1.0,29.414,10.0,442.0,12.0,12.0,2.0,11.0,1003.3251,13398.73,21170.486,13193.707,18077.182,19703.855,18888.393,16212.341999999999,3979.1240000000003,26873.097999999998,12902.722,25498.484,18352.074,19211.982,27975.822,19617.494,21462.205,29889.297000000002,37956.926,18468.887,41478.043,30145.99,31550.193,37606.902,36837.223,10.0,38.0,52.0,41.0,47.0,44.0,47.0,52.0,7.0,50.0,42.0,52.0,39.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,0.0,0.0,1.0,0.0,0,31948.288249999998
2394,2395,2395,1,61,1.0,1.0,0.0,1.0,0,1,0,1.0,2.8570001,8.0,537.0,12.0,12.0,4.0,6.0,4511.6187,5406.3472,0.0,2398.856,451.92953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,31.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
2409,2410,2410,1,61,1.0,0.0,0.0,1.0,0,0,0,0.0,41.414001,6.0,484.0,12.0,12.0,9.0,12.0,3344.4172,600.70526,1852.4175,19190.848,22596.477000000003,26271.807,27283.234,26345.057,29843.43,13436.548999999999,12902.722,22860.709,0.0,0.0,0.0,0.0,0.0,0.0,9423.7891,10342.577,18487.357,14514.736,13671.75,35574.098,33929.02,19.0,8.0,8.0,51.0,37.0,52.0,52.0,52.0,31.0,25.0,26.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,52.0,41.0,52.0,52.0,52.0,52.0,0.0,0.0,0.0,1.0,0,9563.430775
2458,2459,2459,2,61,1.0,1.0,0.0,1.0,0,0,0,1.0,26.827999,13.0,359.0,12.0,12.0,8.0,12.0,4822.6494,5715.7104,1685.7,364.6261,0.0,3253.3254,0.0,0.0,0.0,15356.056999999999,9216.2295,684.0627400000001,0.0,0.0,2115.283,14888.17,15738.95,14944.648000000001,0.0,0.0,5925.4346,5091.3228,0.0,3455.7693,290.82018999999997,52.0,51.0,19.0,2.0,0.0,12.0,0.0,0.0,0.0,45.0,9.0,28.0,14.0,0.0,9.0,52.0,48.0,52.0,0.0,0.0,52.0,52.0,0.0,51.0,2.0,0.0,1.0,0.0,0.0,0,5217.52065
2527,2528,2528,8,61,1.0,1.0,0.0,1.0,0,0,0,1.0,13.091,10.0,342.0,12.0,12.0,12.0,9.0,775.90479,0.0,5292.6216,0.0,0.0,0.0,0.0,1418.58,0.0,0.0,0.0,801.8833599999999,0.0,0.0,1942.7655,7846.9980000000005,7440.231,7064.7427,6806.0698,6402.5479,3792.2783,6699.1089,3680.8557,17278.848,8336.8447,12.0,2.0,18.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,9.0,0.0,0.0,31.0,52.0,52.0,50.0,52.0,22.0,21.0,22.0,0.0,52.0,40.0,0.0,1.0,0.0,0.0,0,6016.409674999999
2587,2588,2588,1,61,1.0,1.0,0.0,1.0,0,0,0,1.0,97.318001,6.0,516.0,17.0,16.0,8.0,14.0,0.0,0.0,1058.5243,1199.428,677.8942900000001,21893.172000000002,44205.137,44583.941,43770.363,42229.155999999995,42394.655999999995,21102.193,38372.516,18411.482,22846.922000000002,21126.533,46017.828,51626.965,61516.398,57869.18,72290.305,78156.273,73129.141,80295.82,75613.25,0.0,0.0,8.0,0.0,13.0,29.0,52.0,52.0,51.0,52.0,39.0,37.0,29.0,41.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,45.0,52.0,52.0,0.0,0.0,1.0,0.0,1,60825.712
2593,2594,2594,4,62,1.0,1.0,0.0,1.0,1,0,0,0.0,34.866001000000004,7.0,435.0,12.0,12.0,7.0,8.0,0.0,11413.399,63511.457,53974.258,58072.945,43786.344000000005,54146.727,40125.547,27257.0,28792.605,34100.051,42204.387,48883.25,35221.969,38855.309,39989.508,37201.156,36682.316,65442.977,62794.219000000005,60439.434,69224.125,94650.57800000001,118919.13,116328.07,0.0,11.0,52.0,52.0,52.0,48.0,46.0,38.0,2.0,25.0,48.0,52.0,48.0,38.0,38.0,50.0,48.0,40.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,0.0,0.0,1.0,0.0,0,56339.736500000006
2644,2645,2643,9,62,1.0,1.0,0.0,0.0,0,1,0,0.0,8.6420002,11.0,323.0,13.0,13.0,0.0,0.0,1672.2086,2102.4683,3704.835,2158.9702,0.0,6567.9517,13259.651000000002,2026.5427,1790.6058,13436.548999999999,17879.486,15826.646,23357.183999999997,20812.98,29374.615,27162.686,27185.459,6385.4404,47118.945,36937.773,14221.044,30704.25,30498.52,81312.219,43623.027,0.0,8.0,16.0,16.0,0.0,37.0,50.0,33.0,37.0,52.0,52.0,50.0,47.0,49.0,52.0,52.0,52.0,16.0,49.0,34.0,17.0,51.0,43.0,49.0,52.0,0.0,0.0,1.0,0.0,0,26165.8006
2653,2654,2653,1,61,1.0,1.0,0.0,1.0,0,1,0,1.0,17.893,12.0,370.0,12.0,12.0,0.0,6.0,2006.6503,1802.1157,2540.4583,14393.136,15817.533000000001,6567.9517,4197.4204,16212.341999999999,15916.496000000001,28792.605,36864.918,21102.193,20020.443,24014.979,24867.397999999997,25653.646,30047.086,28530.691000000003,45810.085999999996,8003.1846,10665.782,22330.362999999998,21033.461,20328.055,0.0,9.0,12.0,10.0,52.0,52.0,32.0,52.0,48.0,41.0,22.0,50.0,51.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,23.0,52.0,52.0,52.0,45.0,0.0,0.0,0.0,1.0,0.0,0,23252.435899999997
